goal_idx,goal_id,relevance_rule,coherence_rule,integrity_rule,attainability_label
0,1,0.08499999999999998,0.33356006180063225,0.505137453243143,0.3
1,2,0.08500000000000008,0.09,0.35173616884115333,0.1
2,3,0.3026408322800154,0.4697221361093832,0.5193189744694149,0.1
3,4,0.9188437205071638,0.9425065737668156,0.5303141155414285,0.3
4,5,0.08499999999999998,0.09,0.5656498772250587,0.1
5,6,0.08500000000000008,0.09,0.4069837934733154,0.1
6,7,0.08499999999999998,0.1843253801432274,0.5420705838561923,0.1
7,8,0.9455033958571895,0.604081408259362,0.5275801391141943,0.1
8,9,0.08500000000000008,0.4311171742395523,0.4109561667387812,0.1
9,10,0.08500000000000008,0.37249153979094196,0.5467953708399681,0.1
10,11,0.08499999999999998,0.1540299163045992,0.4939948068933971,0.1
11,12,0.08499999999999998,0.09,0.41589549660789527,0.1
12,13,0.08500000000000008,0.1272471824288342,0.4452628665494245,0.1
13,14,0.5744747752005571,0.35220377324249313,0.5309904743602485,0.1
14,15,0.08499999999999998,0.09,0.5185557921540808,0.1
15,16,0.08500000000000008,0.09,0.374527196914784,0.1
16,17,0.4936974320386745,0.4804343691102337,0.5438783402965548,0.1
17,18,0.08500000000000008,0.43102258518396586,0.5235213014551077,0.1
18,19,0.08499999999999998,0.4066319388156102,0.36612591719117005,0.1
19,20,0.08499999999999998,0.09,0.5686953007306931,0.1
20,21,0.08500000000000008,0.23026856647335917,0.6258061447814685,0.1
21,22,0.08500000000000008,0.24746579547084446,0.5181929701725717,0.3
22,23,0.08500000000000008,0.22398583810784367,0.4838664675788636,0.1
23,24,0.08499999999999998,0.32293639008803476,0.4985797233165006,0.9
24,25,0.08500000000000008,0.43657995807495664,0.4982269113800911,0.1
25,26,0.08499999999999998,0.09,0.5073462756412053,0.1
26,27,0.08499999999999998,0.09392283116294387,0.3263745906703545,0.1
27,28,0.08500000000000008,0.4559826133260442,0.49791197577456503,0.1
28,29,0.08499999999999998,0.38209413943997006,0.34796377936455436,0.1
29,30,0.530059015519073,0.33,0.5853705312727852,0.1
30,31,0.08500000000000008,0.3649797625932666,0.5504431654603871,0.3
31,32,0.08500000000000008,0.09,0.6038772622055384,0.1
32,33,0.08500000000000008,0.09,0.6884763927548575,0.1
33,34,0.08500000000000008,0.09,0.6001610204479386,0.1
34,35,0.08499999999999998,0.09,0.6019924517359224,0.1
