feature,coefficient,abs_coef
volatility_measure,0.3225601947311846,0.3225601947311846
trailing_6_period_slope,0.2557444499508109,0.2557444499508109
variance_from_target,-0.23804835209051292,0.23804835209051292
target_value_final_period,-0.21272833854967257,0.21272833854967257
delivered_output_quantity,0.145833625634197,0.145833625634197
allocation_percentage_of_parent,-0.1373355821318808,0.1373355821318808
observed_value,-0.12404270865611214,0.12404270865611214
delivered_output_quality_score,-0.06881447333060642,0.06881447333060642
allocated_amount,0.03287969278889746,0.03287969278889746
allocated_time_hours,0.032879692788896575,0.032879692788896575
status_band_encoded,0.023967904844898857,0.023967904844898857
llm_attainability,-0.011118315458206407,0.011118315458206407
