trailing_6_period_slope,variance_from_target,delivered_output_quality_score,delivered_output_quantity,allocation_percentage_of_parent,volatility_measure,target_value_final_period,observed_value,allocated_amount,allocated_time_hours,status_band_encoded
-0.2088040903289825,-0.20235133019864596,-1.1400426158826373,-0.07011323284012001,-1.038453973850666,-0.21095040080025268,-0.20278145370368866,-0.20427104521467587,-0.031255486020090456,-0.031255486020090796,-1.2493900951088484
-0.21075704244527418,-0.20228700048484533,-0.8237781475072715,-0.8309294606215218,0.21188535364554428,-0.21223118310313804,-0.20278145370368866,-0.2044963214378661,1.782370714193186,1.7823707141931857,0.9370425713316365
-0.21150172789726562,-0.2041925057510874,1.8592527439835063,0.600858509194479,0.02088575776550728,-0.21363347587541315,-0.20471188806316037,-0.20651389640803655,1.5053244246776443,1.5053244246776443,0.39043440472151525
1.3291687976442965,0.9609964801239858,1.5133831183447168,0.37790095442902305,-0.05083772311689581,1.378642020425731,0.9795207678058916,1.0443105052469996,0.5605017324521576,0.5605017324521573,-0.156173761888606
-0.21071688203358682,-0.20228876079962976,-0.04795914740508134,-0.5967570462176932,-1.294844277982868,-0.21190500148039912,-0.20278145370368866,-0.20449015699156542,-0.7283843160483842,-0.7283843160483845,-1.2493900951088484
-0.21092018485761915,-0.20322180890237704,-0.5886141458131992,-0.6780344895017426,-0.058954465773104224,-0.21272209152010194,-0.20372890615005515,-0.20548797417769127,0.5520921655347365,0.5520921655347362,0.9370425713316365
-0.21066853979528177,-0.20329409062057838,-0.5308193118428265,-0.1980973935353474,-1.1056304367413803,-0.2127768501060915,-0.20384733770585095,-0.20576800811978302,-0.5323442877981915,-0.5323442877981918,-1.2493900951088484
-0.21147458238979408,-0.2041866173535555,0.7733694167456348,0.1715772827299165,-0.2985800055464836,-0.21362172345156208,-0.20470004490758079,-0.20648120125828018,0.3038217574165126,0.30382175741651235,-0.156173761888606
5.635885688507514,5.720451477156249,-1.1799145368932091,-0.4751322175169197,0.2733025899685074,5.622625004423931,5.716782999638328,5.7034667391196265,0.8963359172948454,0.8963359172948451,0.9370425713316365
-0.20961308504946283,-0.19192451785962866,0.8035200064791433,1.5582224888012548,1.245554558118901,-0.20718721508845228,-0.19295163457263634,-0.1965326440786914,0.5256114692612083,0.5256114692612079,0.9370425713316365
-0.2089897599224137,-0.20052470573364453,-0.6035958941209278,-1.2594507474071335,-1.2486517163164774,-0.21093542087625014,-0.20124184347834312,-0.20373665662325,-1.0249017446576494,-1.0249017446576498,-1.2493900951088484
