feature,mean_abs_shap,coef
llm_attainability,0.046313271531138046,-0.05545886410763957
status_band_encoded,0.039196610244008834,-0.047805860014975554
delivered_output_quantity,0.02872350696434723,0.05194573086507137
volatility_measure,0.01981321744321986,0.016677738529856725
trailing_6_period_slope,0.01572461392654328,0.013305794036077095
allocated_amount,0.013895389451446758,0.023778882274401565
allocated_time_hours,0.013895389451446746,0.02377888227440155
variance_from_target,0.01304176512712478,-0.011504920188653074
delivered_output_quality_score,0.0119828843671647,0.01276359156867378
target_value_final_period,0.011648574305890155,-0.010252763406478203
observed_value,0.006717742655501872,-0.005866993363059236
allocation_percentage_of_parent,0.0007988034957566654,0.0013776086037117713
