goal_id,period_id,l2_name,l1_name,attainability,relevance,coherence,integrity,composite_raw,composite,composite_adjusted,final_composite,gp_std,uncertain,at_risk,critical,weakest_dim,weakest_score,shock_effect,goal_priority,attainability_norm,relevance_norm,coherence_norm,integrity_norm,verified_attainability,verified_relevance,verified_coherence,verified_integrity,verified_composite,verified,verification_flags,verification_narrative,verification_adjustments,verifier_model_used,attainability_at_risk,relevance_at_risk,coherence_at_risk,integrity_at_risk
1,1,Paid Acquisition,Marketing,0.0999144566332413,0.7495491541772356,0.6498570029986337,0.750256538407843,0.5623942880542384,0.5623942880542384,0.5623942880542384,0.5623942880542384,0.037315410981842,False,False,False,attainability,0.0999144566332413,,P3,0.10826896486246126,0.7406399461056247,0.563341129803232,0.750256538407843,,,,,,,,,,,True,False,False,False
1,2,Paid Acquisition,Marketing,0.096763752628296,0.7495603940399789,0.6498805944613518,0.7502077908720794,0.5616031330004265,0.5616031330004265,0.5616031330004265,0.5616031330004265,0.0369299646710705,False,False,False,attainability,0.096763752628296,,P3,0.10482257509580328,0.7406515868800141,0.5633705504157961,0.7502077908720794,,,,,,,,,,,True,False,False,False
1,3,Paid Acquisition,Marketing,0.1042292401357619,0.749559584022001,0.6498660238812696,0.4002348666854289,0.47597242868111533,0.47597242868111533,0.47597242868111533,0.47597242868111533,0.0369700986579155,False,False,False,attainability,0.1042292401357619,,P3,0.11298868010232234,0.7406507479697224,0.5633523796310272,0.4002348666854289,,,,,,,,,,,True,False,False,False
1,4,Paid Acquisition,Marketing,0.1009703936815896,0.7495039051678343,0.6498302021166479,0.0002931568788301,0.3751494144612254,0.3751494144612254,0.3751494144612254,0.3751494144612254,0.0373018792347937,False,False,False,integrity,0.0002931568788301,,P3,0.10942399898561297,0.7405930831214573,0.5633077067647922,0.0002931568788301,,,,,,,,,,,True,False,False,True
1,5,Paid Acquisition,Marketing,0.1086675858928299,0.749784593930819,0.6500055249704586,3.601300724792362e-05,0.37712342945033883,0.37712342945033883,0.37712342945033883,0.37712342945033883,0.036486769136754,False,False,False,integrity,3.601300724792362e-05,,P3,0.11784355360806588,0.7408837836965585,0.5635263496618952,3.601300724792362e-05,,,,,,,,,,,True,False,False,True
1,6,Paid Acquisition,Marketing,0.0900039765226544,0.6867320707794748,0.5668797382460598,0.1027554207159874,0.36159280156604406,0.36159280156604406,0.36159280156604406,0.3616,0.0359772790641199,False,False,False,attainability,0.09,0.0,P3,0.09742841075703458,0.6755822570277816,0.4598612401890593,0.1027554207159874,0.09,0.6867,0.5669,0.1028,0.3616,True,[],The provided scores are consistent with the given evidence. No adjustments are necessary.,{},verifier_primary,True,False,False,True
1,7,Paid Acquisition,Marketing,0.0977214502247423,0.7497695285878285,0.6499958210809095,0.4000552300268469,0.4743855074800818,0.4743855074800818,0.4743855074800818,0.4743855074800818,0.036928576535251,False,False,False,attainability,0.0977214502247423,,P3,0.10587015023798259,0.7408681809918942,0.563514248064881,0.4000552300268469,,,,,,,,,,,True,False,False,False
1,8,Paid Acquisition,Marketing,0.1041486163303193,0.7498399082864555,0.6500416622334675,0.0612266916107462,0.39131421961524715,0.39131421961524715,0.39131421961524715,0.39131421961524715,0.0361814793860679,False,False,False,integrity,0.0612266916107462,,P3,0.11290048995256842,0.7409410710450932,0.5635714159821489,0.0612266916107462,,,,,,,,,,,True,False,False,True
1,9,Paid Acquisition,Marketing,0.1057145221475262,0.7498572644289878,0.6500538627940329,3.935989452669148e-06,0.37640739633999987,0.37640739633999987,0.37640739633999987,0.37640739633999987,0.0361077530113952,False,False,False,integrity,3.935989452669148e-06,,P3,0.11461335214955723,0.740959046259213,0.563586631145776,3.935989452669148e-06,,,,,,,,,,,True,False,False,True
1,10,Paid Acquisition,Marketing,0.1067753484642389,0.7498311889348563,0.650022986179777,4.185227297793374e-05,0.37666784396296255,0.37666784396296255,0.37666784396296255,0.37666784396296255,0.0368289402632532,False,False,False,integrity,4.185227297793374e-05,,P3,0.1157737343867911,0.7409320406852832,0.5635481253135534,4.185227297793374e-05,,,,,,,,,,,True,False,False,True
