goal_idx,goal_id,bucket_id,relevance_rule,coherence_rule,integrity_rule,attainability_label
0,1,19,0.4620260525305373,0.4130410346325879,0.3993228319989852,0.3
1,2,20,0.0,0.8618957341219426,0.3326880220564962,0.1
2,3,21,0.2462638156929756,0.8773556254958853,0.4463821260630634,0.1
3,4,22,0.9425065737668156,0.7322669133881191,0.4447347700304878,0.3
4,5,23,0.1275,0.4573567317392617,0.4358103680070371,0.1
5,6,24,0.0,0.7270898389790916,0.3631575677478028,0.1
6,7,25,0.3351765731217433,0.1760462418882911,0.4211289370373573,0.1
7,8,26,0.4540814082593619,0.7284908221675501,0.4418939624592511,0.1
8,9,27,0.2899495981036195,0.6925599529012366,0.3595011458798911,0.1
9,10,28,0.4951178088223006,0.475,0.4376874662278222,0.1
10,11,29,0.1819254288589093,0.4640484869922899,0.3970083288731759,0.1
11,12,30,0.0,0.2917599789923766,0.3572745629870705,0.1
12,13,31,0.286660105064509,0.504185803505063,0.3925360004952056,0.1
13,14,32,0.1463732072561191,0.8006091903321906,0.4391954438728117,0.1
14,15,33,0.0,0.3287585594216561,0.4023799858990645,0.1
15,16,34,0.255,0.5543272435387454,0.3420792497763576,0.1
16,17,35,0.2553692137436986,0.8288647198877737,0.4585137922347776,0.1
17,18,36,0.2898691974063709,0.9632665502369554,0.4256034547016047,0.1
18,19,37,0.5241371479932686,0.3714111974372359,0.3404947578362498,0.1
19,20,38,0.0,0.171516466244412,0.4284754184446406,0.1
20,21,39,0.3742282815023552,0.9416290624646362,0.4880179910464515,0.1
21,22,40,0.1338459261502178,0.5605470654308968,0.4207621875464159,0.3
22,23,41,0.3688879623916671,0.6204376361297641,0.4094774229249485,0.1
23,24,42,0.3254959315748296,0.4389971983308014,0.3935907827407178,0.9
24,25,43,0.2945929643637132,0.702593066530087,0.3944966854606787,0.1
25,26,44,0.255,0.0398108765649344,0.4044918817310519,0.1
26,27,45,0.0033344064885022,0.4244028089387877,0.3270205775689251,0.1
27,28,46,0.3110852213271375,0.7917124174068945,0.4000335098895802,0.1
28,29,47,0.5032800185239746,0.3843435163716041,0.3416811627046816,0.1
29,30,48,0.255,0.792403423282241,0.4631303561586554,0.1
30,31,49,0.2337327982042765,0.5278312959174756,0.4370026427134378,0.3
31,32,50,0.255,0.5083548016914621,0.4482196797511355,0.1
32,33,51,0.0,0.9263843057735508,0.5139162011794562,0.1
33,34,52,0.255,0.9226530949337662,0.4750531821012201,0.1
34,35,53,0.0,0.3823020568264078,0.452614993777195,0.1
