goal_id,composite_adjusted,final_composite,composite_p6,composite_p12,trajectory_p6,trajectory_p12,attain_p6,attain_p12,improving_p6,improving_p12,degrading_p6,degrading_p12,projected_attain_p24,actual_attain_p24,attain_error_p24,coherence_p6,relevance_p6,integrity_p6,coherence_p12,relevance_p12,integrity_p12,actual_coherence_p24,coherence_error_p24,actual_relevance_p24,relevance_error_p24,actual_integrity_p24,integrity_error_p24,actual_attainability_p24,attainability_error_p24,coherence_slope,relevance_slope,integrity_slope,attain_slope
1,0.3889,0.3889,0.39162874030522477,0.35068508201398285,0.0027287403052247416,-0.03821491798601717,0.21884392860820334,0.22966083780595592,False,False,False,True,0.21884392860820334,0.0,0.21884392860820334,0.6143363413900369,0.49569487126774237,0.2376398199549165,0.6094934717043679,0.46813514752535124,0.09545087102025651,0.6500604487793087,0.035724107389271786,0.7498698932733918,0.25417502200564945,0.0470531613411035,0.19058665861381302,0.0078880013746437,0.21095592723355963,-0.000807,-0.004593,-0.023698,0.002775
2,0.3274,0.3274,0.34026291847399126,0.3096465739247127,0.012862918473991236,-0.01775342607528735,0.17951703262340257,0.17938769597866544,False,False,False,False,0.17951703262340257,0.0,0.17951703262340257,0.7848248765241578,0.18903540417455061,0.20767436057385397,0.7628105663570031,0.2078549546735747,0.08853307868960741,0.9999070364442472,0.2150821599200894,0.0346393714534916,0.154396032721059,0.0300641224157786,0.17761023815807536,0.0035106513251841,0.17600638129821847,-0.003669,0.003137,-0.019857,0.000143
3,0.4167,0.4167,0.41372535592211884,0.37146432216902586,-0.0029746440778811722,-0.04523567783097415,0.22800187358483853,0.23938842506628422,False,False,False,True,0.22800187358483853,0.0,0.22800187358483853,0.44961373652504805,0.5027819689682812,0.4745038446103076,0.29127976518975995,0.5333417157143402,0.421847382705719,0.6165506959066402,0.1669369593815922,0.7497652848207064,0.24698331585242517,0.6000537488331746,0.12554990422286705,0.0030836768272624,0.22491819675757613,-0.026389,0.005093,-0.008776,0.000269
4,0.5314,0.5314,0.5390476533239762,0.47608637303839785,0.007647653323976211,-0.055313626961602136,0.21116017178003435,0.22754035782357365,False,False,False,True,0.21116017178003435,0.0,0.21116017178003435,0.542674187254778,1.0,0.4023562542610924,0.4075705967317782,1.0,0.26923453759823956,0.6499583092453536,0.10728412199057558,0.7495131423710655,0.2504868576289345,0.317073515884835,0.08528273837625738,0.0023483878186278,0.20881178396140654,-0.022517,0.018827,-0.022187,0.002214
5,0.3159,0.3159,0.3158016571051339,0.28832394188366123,-9.834289486609915e-05,-0.027576058116338786,0.16233339762017146,0.15709377258572738,False,False,False,True,0.16233339762017146,0.0,0.16233339762017146,0.6185963944616447,0.38058775019372443,0.10168908614499511,0.6149705667010672,0.3812314282478503,0.0,0.6498633166384009,0.031266922176756196,0.384784640780371,0.004196890586646573,0.0002204159596629,0.1014686701853322,0.0056166124852545,0.15671678513491696,-0.000604,0.000107,-0.025546,0.000353
6,0.3596,0.3596,0.3534454205907598,0.3195548747629088,-0.006154579409240191,-0.040045125237091195,0.17254480752297296,0.1795795566545053,False,False,False,True,0.17254480752297296,0.0,0.17254480752297296,0.7696189352051583,0.18932581461535702,0.28229212501955075,0.7575570895777101,0.20843577555518755,0.13264707726423242,0.8823726194658836,0.1127536842607253,0.0349486316579305,0.15437718295742653,0.1656067742783266,0.11668535074122416,0.0017085522890503,0.17083625523392265,-0.00201,0.003185,-0.024941,-0.000896
7,0.4441,0.4441,0.514631641231615,0.5319303660466332,0.07053164123161498,0.08783036604663325,0.18661109187531452,0.20252816470562318,True,True,False,False,0.18661109187531452,0.0,0.18661109187531452,0.5978002979064333,0.9028908352203131,0.3712243399243991,0.6308903532244707,0.9941438637969449,0.3001590824594943,0.2818386143516209,0.3159616835548124,0.6632787105677245,0.23961212465258863,0.0206065095568582,0.3506178303675409,0.0009345140557562,0.18567657781955832,0.005515,0.015209,-0.011844,0.000447
8,0.3788,0.3788,0.3593196339651813,0.2964372555738408,-0.01948036603481873,-0.0823627444261592,0.2433626205592081,0.25715403215994187,False,False,False,True,0.2433626205592081,0.0,0.2433626205592081,0.3978659878326256,0.414636480635851,0.38141344683304057,0.23226639643529712,0.4727426037577204,0.22358598994240375,0.6166683073816753,0.21880231954904972,0.3971306321785578,0.017505848457293194,0.2499174589099016,0.13149598792313896,0.0037232173189157,0.2396394032402924,-0.0276,0.009684,-0.026305,0.001454
9,0.3862,0.3862,0.3940812297662012,0.3742027217681153,0.007881229766201203,-0.011997278231884678,0.2125418092118715,0.22939838909561897,False,False,False,False,0.2125418092118715,0.0,0.2125418092118715,0.35668993968535423,0.7324740921469003,0.27461907802067875,0.21803084620763674,0.8309648973857227,0.21841675438348263,0.446091966552596,0.08940202686724175,0.6490679445703245,0.08340614757657583,0.2510912797434483,0.02352779827723045,0.0050667268171628,0.2074750823947087,-0.02311,0.016415,-0.009367,0.000532
10,0.3769,0.3769,0.3778084413859567,0.3468691600707279,0.0009084413859566931,-0.030030839929272135,0.17811668430083838,0.18860594119087015,False,False,False,True,0.17811668430083838,0.0,0.17811668430083838,0.639161376352488,0.5567587674690245,0.13719693742147593,0.6622762410770692,0.5365944580149722,0.0,0.5998497479053784,0.03931162844710967,0.7495329183925868,0.19277415092356232,0.0002577719493516,0.13693916547212434,0.0041860905743379,0.1739305937265005,0.003852,-0.003361,-0.036647,0.000272
