goal_idx,goal_id,bucket_id,relevance_rule,coherence_rule,integrity_rule,attainability_label
0,1,19,0.46202605253053736,0.41304103463258796,0.333639182416021,0.1
1,2,20,0.0,0.8618957341219426,0.3039859801085273,0.1
2,3,21,0.24626381569297565,0.9413676349900075,0.38176798092735076,0.1
3,4,22,0.5461305877017932,0.9059151706960061,0.3747313265455601,0.1
4,5,23,0.1275,0.4573567317392617,0.3546532260961509,0.1
5,6,24,0.0,0.7270898389790916,0.3531212132076545,0.1
6,7,25,0.39432538014322743,0.17604624188829113,0.3794723009532468,0.1
7,8,26,0.13096919702045764,0.9398666711318475,0.3750723595194645,0.1
8,9,27,0.2899495981036195,0.6925599529012366,0.32264116664146714,0.1
9,10,28,0.4951178088223006,0.475,0.3785081042618418,0.1
10,11,29,0.1819254288589093,0.4640484869922899,0.34354360612609014,0.1
11,12,30,0.0,0.2917599789923766,0.3578234756648047,0.1
12,13,31,0.28666010506450906,0.504185803505063,0.37142955107705966,0.1
13,14,32,0.14637320725611913,0.9445723595088249,0.41620463566885146,0.1
14,15,33,0.0,0.3287585594216561,0.35963372161242946,0.1
15,16,34,0.255,0.5543272435387454,0.3728192160454106,0.1
16,17,35,0.25536921374369864,0.9490698469579719,0.37908572447727396,0.1
17,18,36,0.28986919740637096,0.9632665502369554,0.40663468774364503,0.1
18,19,37,0.5241371479932686,0.37141119743723594,0.3351951661181203,0.1
19,20,38,0.0,0.171516466244412,0.39424976396687605,0.1
20,21,39,0.37422828150235526,0.9416290624646362,0.4030178492259565,0.1
21,22,40,0.1338459261502178,0.5605470654308968,0.3787053678893505,0.1
22,23,41,0.3688879623916671,0.6204376361297641,0.38358943396298595,0.1
23,24,42,0.3254959315748296,0.4389971983308014,0.35564512323278413,0.9
24,25,43,0.2945929643637132,0.702593066530087,0.3988750650983094,0.1
25,26,44,0.255,0.03981087656493446,0.38613614445485595,0.1
26,27,45,0.003334406488502293,0.42440280893878773,0.3402829027891089,0.1
27,28,46,0.31108522132713756,0.7917124174068945,0.3137308113673505,0.1
28,29,47,0.5032800185239746,0.38434351637160413,0.35905509829163906,0.1
29,30,48,0.255,0.9233031337290272,0.3833783831224691,0.1
30,31,49,0.23373279820427656,0.5278312959174756,0.34978887653346846,0.1
31,32,50,0.255,0.5083548016914621,0.4643372127071736,0.1
32,33,51,0.0,0.9263843057735508,0.4569056972287466,0.1
33,34,52,0.255,0.9226530949337662,0.37879219743926096,0.1
34,35,53,0.0,0.38230205682640783,0.3739886374189119,0.1
