period_id,start_date,end_date,total_budget_available,projection_id,bucket_id,bucket_name,bucket_level,parent_bucket_id,parent_bucket_name,goal_id,metric_name,metric_unit,start_period,end_period,target_value_final_period,initial_value,minimum_viable_allocation,optimal_allocation_min,optimal_allocation_max,red_low_max,orange_low_max,green_min,green_max,orange_high_min,red_high_min,scenario_story,allocation_id,allocated_amount,allocated_time_hours,allocation_percentage_of_total_bucket,allocation_percentage_of_parent,delivered_output_quantity,delivered_output_quality_score,output_cost_per_unit,metric_id,observed_value,expected_value,variance_from_target,trailing_3_period_avg,trailing_6_period_slope,volatility_measure,range_position_score,status_band,underfunded_flag,overfunded_flag,allocation_efficiency_ratio,probability_of_hitting_target,time_to_green_estimate_x,weighted_goal_status_score,allocation_fitness_score,time_to_green_estimate_y,time_to_green_estimate,needle_move_ratio,scenario_encoded,l3_share_of_l2,l3_share_of_l1,sibling_rank_pct,alloc_drift_std,status_band_unique,n_dependencies,n_dependents,dependency_risk_encoded,dep_avg_attain,optimal_band_distance,budget_shock_exposure,shock_alloc_impact,recovery_period_estimate,recovery_window_remaining,market_shock_vulnerable,market_shock_forward_risk,period_id_scaled,market_shock_period,status_band_encoded
18,2025-06-01,2025-06-30,1000000.0,1,19,Google Ads - Search,3,5.0,Paid Acquisition,1,Performance Metric - Google Ads - Search,score,1,24,85.0,60.0,0.0358383622077627,0.0511976602968039,0.0565868876964674,0.0490419693369384,0.0511976602968039,0.0511976602968039,0.0565868876964674,0.0565868876964674,0.0587425786563328,underfunded,18,29615.049807966327,59.23009961593265,0.0559999999999999,0.2250302766238187,256.69616664648095,0.7676716518925416,115.37005088491188,18,24.020580991500005,78.75,60.9794190085,23.078926706511208,0.1819785762702569,1.2506203125875497,0.05,red_low,True,False,0.1170059723953939,0.1,5,0.05,0.0,5,5,0.30502325068571434,0.0,0.3999999999999995,0.13999999999999974,0.0,0.03235296770766432,1,2,1,0.67,0.1,0.3910998454984194,0.0,0.0,6.0,6.0,0.0,0.07953177793374237,0.75,0.0,0
18,2025-06-01,2025-06-30,1000000.0,1,20,Google Ads - Display,3,5.0,Paid Acquisition,2,Performance Metric - Google Ads - Display,score,1,24,85.0,60.0,0.0264221126445072,0.0377458752064389,0.0417191252281693,0.0361565751977467,0.0377458752064389,0.0377458752064389,0.0417191252281693,0.0417191252281693,0.0433084252368614,dynamic,42,59756.35943002648,119.51271886005291,0.0349999999999999,0.4540593441431259,596.0540880112578,0.6948611274172886,100.25324988442632,42,21.53827935962023,78.75,63.46172064037977,21.197555413998742,0.2256822820748805,1.009075131139423,0.95,red_high,False,True,0.0877514132594577,0.1,5,0.95,0.0,5,5,0.27350196012216166,0.33,0.24999999999999944,0.08749999999999974,1.0,0.03268392709367579,1,2,1,0.67,0.1,1.0,0.0,0.171659621751476,6.0,6.0,0.0,0.0,0.75,0.0,4
18,2025-06-01,2025-06-30,1000000.0,1,21,Social Media Ads,3,5.0,Paid Acquisition,3,ROAS - Social,ratio,1,24,3.5,2.0,0.0348528567781773,0.0497897953973962,0.055030826491859,0.0476933829596111,0.0497897953973962,0.0497897953973962,0.055030826491859,0.055030826491859,0.0571272389296441,optimal,66,49390.86645365332,98.78173290730663,0.0489999999999999,0.3752970335294172,1277.6542500464295,0.8082943074186827,38.65745873882428,66,1.1334767737860638,3.125,2.3665232262139364,1.1534888490259771,0.0374943536728885,0.0735175842386261,0.3024271874473772,orange_low,False,False,0.1548828028797919,0.1,1,0.3024271874473772,0.0,1,1,0.3627125676115404,0.67,0.34999999999999953,0.12249999999999973,0.5,0.009718800236585457,5,2,0,0.67,0.1,0.6506946597265422,0.0,0.15745745953391133,6.0,6.0,0.0,0.010363301871745502,0.75,0.0,1
18,2025-06-01,2025-06-30,1000000.0,1,22,Blog Content Production,3,6.0,Content & SEO,4,Organic Traffic,visitors,1,24,50000.0,25000.0,0.0227026258729633,0.0324323226756619,0.0396395054924757,0.0295494495489364,0.0324323226756619,0.0324323226756619,0.0396395054924757,0.0396395054924757,0.0425223786192012,optimal,90,35560.41747983432,71.12083495966866,0.0349999999999999,0.3782887041530575,1059.7776672640268,0.8484725892207502,33.55460166625214,90,14094.8053646139,43750.0,35905.1946353861,12621.203945827438,169.77683235072303,979.0924791501152,0.4934024622890755,green,False,False,0.1581422635116123,0.1,0,0.4934024622890755,1.0,0,0,0.32216697976260344,0.67,0.349999999999999,0.08749999999999974,0.0,0.010987325551830514,4,1,2,0.33,0.1,0.14373356558296116,0.0,0.1542636199098425,6.0,6.0,1.0,0.14493380477119128,0.75,0.0,2
18,2025-06-01,2025-06-30,1000000.0,1,23,SEO Optimization,3,6.0,Content & SEO,5,SEO Ranking Score,score,1,24,85.0,60.0,0.0208731501568893,0.0298187859384133,0.0329576055108778,0.0285632581094274,0.0298187859384133,0.0298187859384133,0.0329576055108778,0.0329576055108778,0.0342131333398636,underfunded,114,13023.193570983523,26.046387141967045,0.0349999999999999,0.1385396283014824,220.13388249000707,0.6301144680002219,59.160331992848526,114,19.4439128142192,78.75,65.5560871857808,20.30956391521758,-0.1475236080184384,1.4805899768421087,0.05,red_low,True,False,0.0676206974402989,0.1,6,0.05,0.0,6,6,0.24690682938691047,0.0,0.349999999999999,0.08749999999999974,0.5,0.01954698729573592,1,1,3,0.33,0.1,1.0,0.0,0.1645939461725029,6.0,6.0,0.0,0.07736582204319836,0.75,0.0,0
18,2025-06-01,2025-06-30,1000000.0,1,24,Video Content,3,6.0,Content & SEO,6,Video Engagement Rate,percentage,1,24,45.0,25.0,0.0183619463411651,0.0262313519159501,0.0275765494501014,0.0256932729022896,0.0262313519159501,0.0262313519159501,0.0275765494501014,0.0275765494501014,0.0281146284637619,overfunded,138,41910.21235216458,83.82042470432914,0.03,0.4458372832790956,753.4049388395707,0.6947364138043933,55.62773774315394,138,10.183937186459827,40.0,34.81606281354017,10.540581594383845,-0.2182096858951338,0.4311718878475613,0.95,red_high,False,True,0.1239397257984164,0.1,6,0.95,0.0,6,6,0.2545984296614957,1.0,0.3,0.075,1.0,0.07163900994967462,1,0,1,0.0,-1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.75,0.0,4
18,2025-06-01,2025-06-30,1000000.0,1,25,Partner Acquisition,3,7.0,Partnerships,7,Partner Count,count,1,24,40.0,15.0,0.0245915011214905,0.0351307158878436,0.0429375416406977,0.0320079855867019,0.0351307158878436,0.0351307158878436,0.0429375416406977,0.0429375416406977,0.0460602719418394,dynamic,162,38183.12081066277,76.36624162132554,0.045,0.4061887996724542,1385.5979104364242,0.8437083594198699,27.557143759430296,162,9.337436992581708,33.75,30.66256300741829,9.020227666566518,0.4004432888736904,0.800995411046833,0.4890991808892775,green,False,False,0.1619456425228531,0.1,0,0.4890991808892775,1.0,0,0,0.27666479978019876,0.33,0.44999999999999996,0.11249999999999999,0.0,0.10083774560266093,3,0,2,0.0,-1.0,0.7641865496419314,0.0,0.0,6.0,6.0,1.0,0.07997024876758045,0.75,0.0,2
18,2025-06-01,2025-06-30,1000000.0,1,26,Co-Marketing Campaigns,3,7.0,Partnerships,8,Co-Marketing ROI,ratio,1,24,4.0,2.5,0.0221415642324629,0.0316308060463756,0.0349603645775731,0.0302989826338967,0.0316308060463756,0.0316308060463756,0.0349603645775731,0.0349603645775731,0.0362921879900521,optimal,186,30533.776801202737,61.06755360240548,0.03,0.3248157270812639,1056.3853049538427,0.8297072605259057,28.90401509564436,186,1.4130689584207283,3.625,2.5869310415792715,1.2678311632984445,0.016153156587735,0.1074020179161767,0.1440738173518436,orange_low,False,False,0.1776159855368046,0.1,1,0.1440738173518436,0.0,1,1,0.3898121264608906,0.67,0.3,0.075,0.5,0.01015253624936531,5,1,1,0.33,0.1,0.9897964793515951,0.0,0.1980537543637324,6.0,6.0,0.0,0.05982830628666481,0.75,0.0,1
18,2025-06-01,2025-06-30,1000000.0,1,27,Channel Partnerships,3,7.0,Partnerships,9,Channel Revenue,dollars,1,24,250000.0,100000.0,0.0162277684304866,0.0231825263292666,0.0283341988468814,0.0211218573222207,0.0231825263292666,0.0231825263292666,0.0283341988468814,0.0283341988468814,0.0303948678539273,dynamic,210,23298.39915151721,46.59679830303442,0.025,0.2478463935038482,645.02564996368,0.8821579000243744,36.12011266967304,210,64170.025253919564,212500.0,185829.97474608044,56645.48241331681,1494.4518398826622,5365.33067322552,0.4522492272529815,green,False,False,0.1483655314250768,0.1,0,0.4522492272529815,1.0,0,0,0.3019765894302097,0.33,0.25,0.0625,1.0,0.0816171683361877,3,2,0,0.67,0.1,0.14720706440111916,0.0,0.5108283162740197,6.0,6.0,1.0,0.17035966545333517,0.75,0.0,2
18,2025-06-01,2025-06-30,1000000.0,1,28,Virtual Events,3,8.0,Events & Community,10,Virtual Event Attendance,attendees,1,24,500.0,200.0,0.0160638172128828,0.0229483103041183,0.0280479348161446,0.0209084604993078,0.0229483103041183,0.0229483103041183,0.0280479348161446,0.0280479348161446,0.0300877846209552,overfunded,234,47198.27880037181,94.39655760074362,0.024,0.8368188091798224,1919.4802181041584,0.6795234377467374,24.589093628164004,234,113.94759976841384,425.0,386.05240023158615,113.92821278813616,5.3763715504459055,11.033941094391066,0.95,red_high,False,True,0.177821378412121,0.1,7,0.95,0.0,7,7,0.2681119994550914,1.0,0.4,0.06,0.0,0.1444858283635109,2,0,1,0.0,-1.0,0.2937711505226452,0.0,0.0,6.0,6.0,1.0,0.12191826189017577,0.75,0.0,4
